Date,      Genel, 1. Gıda ve Alkolsüz İçecekler, 2. Alkollü İçeçekler ve Tütün, 3. Giyim ve Ayakkabı," 4. Konut, Su, Elektrik, Gaz ve Diğer Yakıtlar "," 5. Mobilya, Ev Aletleri ve Ev Bakım Hizmetleri", 6. Sağlık, 7. Ulaştırma , 8. Haberleşme, 9. Eğlence ve Kültür,10. Eğitim,11. Lokanta ve Oteller,12. Çeşitli Mal ve Hizmetler
Jan-01,42.776477,46.72001556,36.05096777,36.23755717,43.46390884,41.8547341,40.22783793,43.67529999,35.78341736,43.53955695,41.79816945,51.77028961,38.02253037
Feb-01,44.17231277,46.6438359,36.54348238,36.81671828,45.88134087,44.93594244,45.62914725,43.95277121,47.62356687,46.74738147,43.72635136,52.15857115,38.38439169
Mar-01,47.25173251,49.17220806,45.54735037,38.34223206,49.13692727,49.27085316,47.44963949,46.06402723,47.86093302,52.15111521,47.58687302,57.56785676,42.75224464
Apr-01,54.47162897,56.29601648,59.16845722,44.12454296,53.35671899,58.53151655,52.47147564,57.54094862,49.59212344,65.81540467,48.66834243,60.48242472,49.02174552
May-01,56.08797987,57.71563701,59.75073907,47.60056213,55.3054956,60.73499141,53.07631036,59.80200759,49.20426716,65.04147061,48.77094432,60.81117649,51.12606859
Jun-01,58.05118247,60.70864063,56.8188772,49.09009112,58.65135074,63.23254849,53.64958184,61.06082325,49.3063346,65.1622479,51.43859347,63.04777247,52.95175036
Jul-01,59.73703834,57.35090195,62.32845532,50.14852281,61.4740481,65.70559754,57.36460971,65.84535536,73.69649461,67.91919479,53.83263759,62.1178582,54.18431992
Aug-01,62.85707064,61.09588831,71.59688503,51.45192851,64.60877534,71.27960965,60.46647015,66.66095827,74.14218911,72.38579137,55.25135999,68.25779844,57.21994313
Sep-01,66.58569795,65.31947577,72.18523993,54.64317348,68.01698592,73.97759893,61.06938194,70.52526425,74.18076111,75.79030217,63.69230373,66.8906214,65.25921306
Oct-01,70.49239819,69.33241668,76.14320447,60.30105386,74.10719849,78.87348169,67.6233645,72.90251252,74.7061236,80.95459164,65.57335914,69.5231486,66.61228482
Nov-01,71.67880349,71.45381653,76.64536407,61.88136952,74.39913638,83.23984092,67.01641877,73.16059078,74.16200391,81.35690105,63.92359991,68.98571244,68.9692819
Dec-01,73.72885379,76.23610719,77.45548786,63.36655002,75.61925009,83.91031852,71.80685327,73.47425876,74.06547501,83.77975496,63.62862881,69.30595832,69.94479532
Jan-02,75.07763373,78.68486622,72.34494258,63.85998824,75.91250013,84.7824712,71.50126928,72.95967866,91.99865852,81.78742351,62.37248141,72.61882918,75.82207551
Feb-02,76.57833333,80.7246721,72.27770705,65.07985954,78.355619,84.95126613,73.41880874,74.07149796,91.84041442,81.43852761,61.92015664,76.18463148,79.89738964
Mar-02,78.31996951,83.05940265,72.23275306,65.13392292,80.31555872,83.62743716,73.9389254,79.0127633,91.76129237,81.55564942,61.97998391,77.6096178,82.80043316
Apr-02,79.10387838,82.43649185,72.13973579,70.35954886,80.1988857,83.56974827,74.77781701,81.29564061,94.41866392,81.3084804,61.49212794,77.76867117,82.89950403
May-02,79.11615252,78.52488262,72.16761758,76.89539319,81.26896067,83.5734268,75.70089386,81.74964129,94.45347762,82.89364628,62.37308998,78.45019684,84.27004083
Jun-02,79.78211857,76.31180376,72.30657441,75.85757293,86.4466965,85.78467699,76.41937026,84.2840286,94.91760756,86.8224029,64.04605337,77.12033757,85.77264545
Jul-02,82.12508859,76.43588705,82.05560388,75.00535685,88.72982318,89.68304042,80.77262149,88.26120468,99.47310164,92.31994205,66.55758165,80.5638326,88.03975683
Aug-02,84.93255919,84.41237604,82.67145429,76.59664346,89.03541195,92.77753397,80.79922551,88.50975719,100.1350664,93.77625242,66.62098233,82.27433983,87.92911602
Sep-02,86.20839462,84.71735168,83.28020127,76.70913566,91.67796149,93.18586793,81.03230126,89.63089604,101.1182993,92.64327482,76.62198484,83.84288992,88.73400152
Oct-02,89.01657424,84.92233944,83.91583009,84.99585902,91.93119039,95.84386206,81.83634071,89.68239522,101.1279828,93.58591624,102.0988649,84.17888635,88.88382661
Nov-02,89.91271927,87.00871588,84.46567051,84.00529408,95.21990443,96.92853263,82.16255549,89.18903798,101.8680331,94.97698183,101.8723514,86.3126489,88.28014153
Dec-02,91.7876325,91.50844011,84.86877935,86.18803471,94.63663817,96.77577695,85.1543058,91.16688486,101.7441524,94.49956526,101.0091628,86.56312406,89.68066687
Jan-03,94.87749382,92.57537145,94.98056312,86.19491867,95.96961349,99.66018749,89.77967908,98.72993617,101.7408563,97.4273297,102.3667456,88.38921009,97.00435664
Feb-03,97.21842701,96.600233,99.25698742,88.47189606,99.8114009,100.2759492,93.08126743,100.0058296,101.1972294,97.74918529,101.9886666,90.29615175,98.31359825
Mar-03,99.02350155,100.8305974,99.46439847,88.66800311,100.571807,101.4997503,97.66660435,100.7204755,101.2482632,98.72732498,102.2192372,92.15241386,98.49622864
Apr-03,100.7897884,102.720918,99.9716499,96.15231074,104.1778217,102.4069631,97.59329058,100.3038285,102.6098465,99.35275767,102.1990295,93.93822652,99.10129654
May-03,103.6598058,110.6654019,100.622484,104.5965312,102.5139801,102.7042158,101.1510111,99.54339442,102.0724802,99.74011643,100.1327104,95.65044499,98.68412717
Jun-03,100.089358,100.5938031,100.7637765,102.6813108,101.1989507,99.29004395,100.9329962,98.88534244,102.0013495,99.70918358,98.70264511,97.83890304,97.1216682
Jul-03,98.10967751,95.32133115,100.8688875,102.8310771,98.96066289,96.37528499,100.9646964,98.84577888,98.92955454,99.05205083,98.26903003,99.66093437,96.45230947
Aug-03,98.34106316,96.13554628,100.8438514,102.5100399,99.16834958,97.03371425,100.875668,98.76427384,98.37823103,98.75298655,98.29945861,100.5640192,96.0546594
Sep-03,100.1598057,98.72830156,100.8579334,104.1138129,98.9188526,98.41105372,103.5835453,99.95565859,97.66693335,100.8482423,98.19051096,101.1842205,103.9620754
Oct-03,101.7817672,100.2428088,100.8579334,108.7471896,99.13361142,99.74412497,104.3446511,101.1017025,97.4295672,102.1668579,98.65141964,109.6340457,104.6652275
Nov-03,102.5541685,101.2020881,100.8539404,108.3189658,99.69218014,101.3193606,105.0104354,101.6854586,97.50868925,103.1612341,99.8483186,113.4492232,104.8330449
Dec-03,103.3951432,104.3835994,100.6575945,106.7139441,99.88276955,101.2793517,105.0161552,101.4583209,99.21699953,103.3127307,99.13222764,117.2422068,105.3114079
Jan-04,104.1312517,108.027212,100.6575945,106.9467746,99.75036365,100.9366346,105.6321835,101.3530421,97.47712109,100.9984414,97.92059781,116.9622967,104.4366098
Feb-04,103.674697,106.2196458,100.8043244,106.6718565,99.71213746,101.5832963,105.6266497,101.2337862,96.14843532,100.7460681,97.39695649,120.1256828,104.3477334
Mar-04,105.2415244,108.0683758,111.5951192,108.1286672,104.4386738,101.2578913,105.5007613,101.679718,96.14843532,100.7939568,97.26899392,122.5665417,104.725386
Apr-04,105.8572038,107.2068381,112.6556848,113.115357,104.4551979,101.4732782,105.5977596,102.1950538,96.14843532,101.291696,97.59754605,128.888977,104.0273116
May-04,108.1540686,110.0894908,112.6150968,117.2893944,106.0575754,104.207836,110.2074253,103.245293,98.23637011,103.8409553,98.77410109,131.5428013,104.5786896
Jun-04,107.7156864,104.5539783,133.7585805,114.8741078,108.084789,106.3984029,110.9992907,103.7692113,99.19302386,104.7023632,99.98160768,131.7605068,104.4757506
Jul-04,107.7616359,106.1852746,134.0415831,114.1167324,107.8226135,105.673412,106.7769131,104.0080606,98.87653567,104.1743638,99.31250693,131.5432362,104.2858809
